user_id,items
1,"[(318, 5), (6874, 5), (48516, 5), (2288, 5), (247, 5), (899, 5), (904, 5), (908, 5), (912, 5), (1199, 5)]"
2,"[(356, 4.57926488034022), (1203, 4.557509087975694), (912, 4.447629683167135), (1276, 4.440305702848473), (904, 4.436836883272881), (1197, 4.434763776068667), (1178, 4.425299759296531), (296, 4.41077052127437), (2959, 4.408715880865219), (593, 4.40481815178321)]"
3,"[(1104, 3.969394955329424), (899, 3.6286970698214507), (6791, 3.5673247007116844), (4993, 3.5362014777229134), (3451, 3.5200337883156085), (2194, 3.489771383624015), (1755, 3.4889001557879293), (7153, 3.488212244849144), (1961, 3.4847742986484187), (4499, 3.4805777014911605)]"
4,"[(44555, 4.596713348730417), (1208, 4.4978837241180445), (1276, 4.485500485839823), (1262, 4.436948801918544), (3089, 4.417809989969444), (1748, 4.403708140242862), (1249, 4.3894296941794835), (356, 4.382397541773498), (924, 4.378739903102971), (1217, 4.3675079190344)]"
5,"[(260, 4.46425049038036), (858, 4.398990563396303), (1196, 4.308651635671009), (7153, 4.290098713225346), (912, 4.280676864415186), (1197, 4.241775935038324), (1041, 4.2330234953899835), (1203, 4.2302148885116875), (1104, 4.225743246719661), (2160, 4.216336666240801)]"
6,"[(1235, 4.61884723891471), (6377, 4.600991127865903), (3275, 4.535778777139299), (1223, 4.5257557664351955), (750, 4.506688129800372), (1204, 4.501042406865804), (5008, 4.474057630669207), (951, 4.46087375989581), (1148, 4.440125918677663), (1291, 4.43760291460286)]"
7,"[(1204, 4.40655575181275), (912, 4.247569976161652), (1148, 4.242426368221722), (318, 4.229556801075152), (6807, 4.208714093499465), (1200, 4.192776544251041), (527, 4.191633741407134), (1221, 4.177211752275091), (1262, 4.165946056239211), (2571, 4.165461230905696)]"
8,"[(2324, 4.524691305361162), (2959, 4.51463970272603), (4973, 4.43876097488668), (2571, 4.396566413116407), (4226, 4.36998390569824), (3836, 4.342443676794098), (858, 4.339461379778024), (2858, 4.3070529711928325), (2019, 4.296763603465261), (1208, 4.279286118714073)]"
9,"[(1213, 4.291856310614982), (1089, 4.270706266749735), (48516, 4.2683149205869), (3451, 4.216371446084266), (1225, 4.210215853481035), (750, 4.193254286585778), (858, 4.170061386663878), (4642, 4.1557795061837925), (898, 4.1375273319598715), (5995, 4.1369453927265605)]"
10,"[(1233, 4.29834418351648), (104879, 4.199246703961483), (4011, 4.159453497778452), (57669, 4.108638582274182), (1197, 4.108485040038891), (898, 4.08851723000782), (4499, 4.087529805531802), (741, 4.047810858333156), (4105, 4.046871282452354), (2324, 4.034472013432175)]"
11,"[(912, 4.73206838587023), (904, 4.690154495331409), (1213, 4.674352261004656), (260, 4.6661433028028405), (2502, 4.663439033383146), (1104, 4.651907650825501), (3451, 4.650862772214733), (1148, 4.643317260500096), (858, 4.636415017411006), (1248, 4.633949343245623)]"
12,"[(50, 5), (260, 5), (356, 5), (457, 5), (527, 5), (593, 5), (1136, 5), (1196, 5), (1197, 5), (1198, 5)]"
13,"[(318, 4.642441034551489), (1204, 4.604407384826694), (5690, 4.541441151320957), (741, 4.515946215879927), (922, 4.486894837200081), (1193, 4.485506518194075), (296, 4.484891411071003), (608, 4.440739709197904), (1223, 4.429773084424793), (1208, 4.428923645964012)]"
14,"[(5952, 4.316220624912828), (3468, 4.305514162798613), (1276, 4.292121005639243), (1223, 4.288714737766608), (1197, 4.273147974319899), (3451, 4.2645996435001905), (1217, 4.260798842146476), (2019, 4.247938608966429), (58559, 4.241142411031968), (750, 4.236944704753372)]"
15,"[(3275, 4.299257820247545), (2194, 4.201921871074228), (106782, 4.178490183391837), (6807, 4.176299664559541), (4011, 4.175604579398843), (1223, 4.144237938605832), (1221, 4.1406997339672635), (1242, 4.135858597269595), (1203, 4.12680212399729), (608, 4.087716423158424)]"
16,"[(1104, 4.280699274562666), (1233, 4.126591843120411), (5690, 4.10953435608834), (1237, 4.074736918094398), (951, 4.057569545466633), (1041, 4.054115638883792), (922, 4.046470509796373), (3451, 4.025975115539845), (48516, 4.024764169439229), (1204, 4.018956017284848)]"
17,"[(1272, 4.587222337063099), (112552, 4.582656034799906), (6787, 4.539146841267775), (5690, 4.535020940300894), (475, 4.527976667538833), (4011, 4.506524669118053), (71899, 4.483143530934154), (741, 4.48299522948763), (56782, 4.482822034196269), (720, 4.479043033974433)]"
18,"[(750, 4.5539486372761), (1204, 4.415521639325474), (1225, 4.405789761645247), (741, 4.405459827517791), (898, 4.372009049649018), (5618, 4.36862263225186), (3435, 4.351556765091141), (951, 4.34012352727914), (246, 4.335232410184766), (912, 4.33305490296208)]"
19,"[(858, 4.102885245815683), (1221, 4.001562284584968), (750, 3.9561330066775997), (1203, 3.9523099419519716), (7153, 3.9003306680001852), (1204, 3.8797306530405757), (8874, 3.8341827471424574), (3703, 3.7716260903854533), (51255, 3.7618867710958916), (1208, 3.755890520731641)]"
20,"[(1197, 4.817918106893571), (589, 4.783892375947402), (1732, 4.680584214599948), (1041, 4.677829395249191), (608, 4.652772734991209), (260, 4.6501126509367685), (318, 4.597503401187915), (1247, 4.596091086252683), (58559, 4.595219961093236), (1954, 4.5944255716880775)]"
