Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,War,Musical,Documentary,Western,Film-Noir
85,29,42,83,47,26,68,90,45,55,17,18,40,22,22,0,7,1
3,0,0,7,0,1,17,11,10,10,1,2,4,1,0,3,1,0
11,4,5,9,4,5,16,14,2,7,8,1,15,5,1,0,0,0
29,6,10,104,19,58,120,25,27,38,4,23,12,7,16,2,10,4
8,6,9,15,7,11,25,9,12,9,1,1,2,3,5,0,2,0
47,14,47,127,26,70,140,64,35,68,19,15,21,12,12,0,11,2
54,14,15,49,23,30,57,64,26,43,5,14,42,12,9,0,1,2
11,1,4,24,4,14,19,12,9,16,2,3,4,3,1,0,2,0
10,1,1,15,2,6,21,8,7,11,5,3,8,2,1,0,1,1
31,15,14,79,17,78,72,26,13,13,2,3,5,4,9,0,0,0
18,0,0,12,1,13,24,46,13,32,1,3,10,6,0,0,2,0
2,1,0,18,4,21,16,2,1,3,0,0,3,1,0,0,0,0
6,0,0,11,1,6,16,10,3,11,5,2,5,2,0,0,1,0
9,0,2,17,1,14,24,12,7,13,1,2,2,4,1,0,4,0
57,22,21,28,16,13,54,59,19,44,11,12,59,5,5,0,2,0
20,12,8,25,16,13,48,25,24,29,5,13,16,11,0,1,1,5
35,10,7,19,17,7,51,39,32,27,3,10,20,9,3,1,6,2
142,31,35,148,52,44,218,209,138,169,15,56,110,16,12,9,11,8
157,48,102,378,96,134,151,150,72,203,112,58,127,9,37,0,11,9
86,65,111,105,48,40,71,47,25,37,12,16,22,4,55,2,2,1
177,58,61,201,63,65,94,226,73,122,15,18,106,8,15,0,4,2
26,12,12,39,16,22,73,30,30,30,6,12,15,6,1,5,1,1
18,10,3,24,14,12,77,27,39,38,3,22,17,6,0,2,3,11
33,2,2,50,15,33,40,56,23,34,4,13,25,7,1,0,0,0
14,3,3,2,3,1,12,15,4,4,0,2,9,4,0,0,0,0
6,0,1,5,0,2,8,10,8,14,1,1,1,1,0,0,0,0
59,22,49,50,22,23,45,42,7,14,2,3,32,15,13,0,10,1
119,5,4,96,30,41,357,196,150,203,27,56,123,51,5,2,24,6
21,1,2,11,4,6,50,31,15,21,2,7,18,22,3,2,9,1
19,5,3,5,4,2,7,25,7,5,1,1,17,1,0,0,0,0
15,5,7,22,10,16,15,15,3,11,2,1,9,1,5,1,0,0
18,2,6,43,12,30,44,30,19,33,3,8,11,3,2,1,1,0
10,6,8,58,6,55,115,14,26,30,2,9,7,8,6,0,1,2
26,7,2,37,14,20,24,51,11,26,9,7,23,5,0,1,2,0
5,1,2,10,2,9,9,4,4,4,0,1,1,1,1,0,2,0
